,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
17871,71.484,0.1157808515625,0.5625,-0.025475154296875,-0.040247355468749996,1.0,0.0,1.0,1.0,30272.0,1.0,84.0
17872,71.488,0.11579157812499999,0.5625,-0.025474619140624998,-0.04025265234375,1.0,0.0,1.0,1.0,30273.0,1.0,84.0
17873,71.492,0.11579110937499999,0.5625,-0.025475087890624998,-0.04025714453125,1.0,0.0,1.0,1.0,30274.0,1.0,84.0
17874,71.496,0.11578152343749999,0.5625,-0.025473210937499997,-0.0402461484375,1.0,0.0,1.0,1.0,30275.0,1.0,84.0
17875,71.5,0.11577381249999999,0.5625,-0.025473210937499997,-0.040241320312499995,1.0,0.0,1.0,1.0,30276.0,1.0,84.0
17876,71.504,0.11577675781249999,0.5625,-0.025476093749999998,-0.040250375,1.0,0.0,1.0,1.0,30277.0,1.0,84.0
17877,71.508,0.1157891015625,0.5625,-0.02547683203125,-0.04025218359375,1.0,0.0,1.0,1.0,30278.0,1.0,84.0
17878,71.512,0.115790171875,0.5625,-0.02547602734375,-0.0402484296875,1.0,0.0,1.0,1.0,30279.0,1.0,84.0
17879,71.516,0.1157795078125,0.5625,-0.025473076171874998,-0.040249433593749995,1.0,0.0,1.0,1.0,30280.0,1.0,84.0
17880,71.52,0.11577340624999999,0.5625,-0.025472271484375,-0.040253660156249996,1.0,0.0,1.0,1.0,30281.0,1.0,84.0
17881,71.524,0.1157803828125,0.5625,-0.025472271484375,-0.040255468749999995,1.0,0.0,1.0,1.0,30282.0,1.0,84.0
17882,71.528,0.115792453125,0.5625,-0.02547327734375,-0.040258890624999995,1.0,0.0,1.0,1.0,30283.0,1.0,84.0
17883,71.532,0.11579090624999999,0.5625,-0.025471935546874998,-0.0402636484375,1.0,0.0,1.0,1.0,30284.0,1.0,84.0
17884,71.536,0.1157783671875,0.5625,-0.025468986328125,-0.040261503906249996,1.0,0.0,1.0,1.0,30285.0,1.0,84.0
